Id,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,CleanStatus,DandbCompanyId,CustomerPriority__c,SLA__c,Active__c,NumberofLocations__c,UpsellOpportunity__c,SLASerialNumber__c
0017Q000001wDeSQAU,Sample Account for Entitlements,,000000000000000AAA,,,,,,,,,,,,,,,,,,,,,,,,,,Pending,000000000000000AAA,,,,,,
0017Q000001wG1wQAE,WhyThisNeedsToBeOneLine,,000000000000000AAA,,,,,,,,,,,,,,,,,,,,,,,,,,Pending,000000000000000AAA,,,,,,
0017Q000005CIF6QAO,Edge Communications,Customer - Direct,000000000000000AAA,"312 Constitution Place Austin, TX 78767 USA",Austin,TX,,,"312 Constitution Place Austin, TX 78767 USA",,,,,,,,(512) 757-6000,(512) 757-9000,CD451796,http://edgecomm.com,6576,Electronics,139000000,1000,Public,EDGE,"Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",Hot,Pending,,Medium,Silver,Yes,2,Maybe,2657
0017Q000005CIF7QAO,Burlington Textiles Corp of America,Customer - Direct,000000000000000AAA,525 S. Lexington Ave,Burlington,NC,27215,USA,,,,,,,,,(336) 222-7000,(336) 222-8000,CD656092,www.burlington.com,546732,Apparel,350000000,9000,Public,BTXT,,Warm,Pending,,,Silver,,6,Maybe,5367
0017Q000005CIF8QAO,Pyramid Construction Inc.,Customer - Channel,000000000000000AAA,2 Place Jussieu,Paris,,75251,France,2 Place Jussieu,Paris,,75251,France,,,,(014) 427-4427,(014) 427-4428,CC213425,www.pyramid.com,4253,Construction,950000000,2680,Public,PYR,,,Pending,,,Silver,Yes,17,Maybe,9840
0017Q000005CIF9QAO,Dickenson plc,Customer - Channel,000000000000000AAA,1301 Hoch Drive,Lawrence,KS,66045,USA,1301 Hoch Drive,Lawrence,KS,66045,USA,,,,(785) 241-6200,(785) 241-6201,CC634267,dickenson-consulting.com,6752,Consulting,50000000,120,Private,,,,Pending,,Low,Bronze,Yes,2,No,7425
0017Q000005CIFAQA4,Grand Hotels & Resorts Ltd,Customer - Direct,000000000000000AAA,"2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA",Chicago,IL,,,"2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA",,,,,,,,(312) 596-1000,(312) 596-1500,CD439877,www.grandhotels.com,2268,Hospitality,500000000,5600,Public,GHTL,"Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",Warm,Pending,,High,Gold,Yes,57,Yes,5572
0017Q000005CIFBQA4,United Oil & Gas Corp.,Customer - Direct,000000000000000AAA,"1301 Avenue of the Americas  New York, NY 10019 USA",New York,NY,,,"1301 Avenue of the Americas  New York, NY 10019 USA",,,,,,,,(212) 842-5500,(212) 842-5501,CD355118,http://www.uos.com,4437,Energy,5600000000,145000,Public,UOS,World's third largest oil and gas company.,Hot,Pending,,High,Platinum,Yes,955,Yes,6654
0017Q000005CIFCQA4,Express Logistics and Transport,Customer - Channel,000000000000000AAA,"620 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States",Portland,OR,,,"620 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States",,,,,,,,(503) 421-7800,(503) 421-7801,CC947211,www.expressl&t.net,8742,Transportation,950000000,12300,Public,EXLT,Commerical logistics and transportation company.,Cold,Pending,,Medium,Platinum,Yes,150,Maybe,4724
0017Q000005CIFDQA4,University of Arizona,Customer - Direct,000000000000000AAA,"888 N Euclid  Hallis Center, Room 501 Tucson, AZ 85721 United States",Tucson,AZ,,,"888 N Euclid  Hallis Center, Room 501 Tucson, AZ 85721 United States",,,,,,,,(520) 773-9050,(520) 773-9060,CD736025,www.universityofarizona.com,7321,Education,,39000,Other,,"Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",Warm,Pending,,Medium,Gold,Yes,3,Yes,8350
0017Q000005CIFEQA4,"United Oil & Gas, UK",Customer - Direct,000000000000000AAA,"Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom",,UK,,,"Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom",,,,,,,,+44 191 4956203,+44 191 4956620,CD355119-A,http://www.uos.com,4437,Energy,,24000,Public,UOS,,,Pending,,High,Platinum,Yes,34,No,3479
0017Q000005CIFFQA4,"United Oil & Gas, Singapore",Customer - Direct,000000000000000AAA,"9 Tagore Lane Singapore, Singapore 787472 Singapore",Singapore,Singapore,,,"9 Tagore Lane Singapore, Singapore 787472 Singapore",,,,,,,,(650) 450-8810,(650) 450-8820,CD355120-B,http://www.uos.com,4437,Energy,,3000,Public,UOS,,,Pending,,High,Platinum,Yes,6,Maybe,2457
0017Q000005CIFGQA4,GenePoint,Customer - Channel,000000000000000AAA,"345 Shoreline Park Mountain View, CA 94043 USA",Mountain View,CA,,,"345 Shoreline Park Mountain View, CA 94043 USA",,,,,,,,(650) 867-3450,(650) 867-9895,CC978213,www.genepoint.com,3712,Biotechnology,30000000,265,Private,,Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs,Cold,Pending,,Low,Bronze,Yes,1,Yes,7324
0017Q000005CIFHQA4,SPIDER-MAN,,000000000000000AAA,The Landmark @ One Market,San Francisco,CA,94087,US,,,,,,,,,(415) 901-7000,(415) 901-7002,,www.sforce.com,,,,,,,,,Pending,,,,,,,
